,Date/Time,Lat,Lon,Base,date,month,week,MonthDayNum,HourOfDay,DayOfWeekNum,DayOfWeek,Time,labels,labels_DBSCAN
433776,2014-06-27 00:41:00,40.7238,-74.0491,B02617,2014-06-27,6,26,27,0,5,Friday,Friday-0,5,0
247235,2014-06-27 00:26:00,40.7519,-73.9861,B02598,2014-06-27,6,26,27,0,5,Friday,Friday-0,2,0
493111,2014-06-06 00:21:00,40.7271,-74.0017,B02682,2014-06-06,6,23,6,0,5,Friday,Friday-0,5,0
660924,2014-06-20 00:15:00,40.7277,-73.9856,B02764,2014-06-20,6,25,20,0,5,Friday,Friday-0,5,0
22108,2014-06-20 00:47:00,40.7778,-73.9631,B02512,2014-06-20,6,25,20,0,5,Friday,Friday-0,2,0
247173,2014-06-27 00:06:00,40.7197,-74.0031,B02598,2014-06-27,6,26,27,0,5,Friday,Friday-0,5,0
493134,2014-06-06 00:28:00,40.7394,-74.0018,B02682,2014-06-06,6,23,6,0,5,Friday,Friday-0,5,0
632414,2014-06-27 00:31:00,40.7075,-74.007,B02682,2014-06-27,6,26,27,0,5,Friday,Friday-0,5,0
300798,2014-06-06 00:34:00,40.7119,-73.944,B02617,2014-06-06,6,23,6,0,5,Friday,Friday-0,1,0
542965,2014-06-13 00:47:00,40.7313,-73.9864,B02682,2014-06-13,6,24,13,0,5,Friday,Friday-0,5,0
542979,2014-06-13 00:54:00,40.7395,-74.0019,B02682,2014-06-13,6,24,13,0,5,Friday,Friday-0,5,0
300789,2014-06-06 00:31:00,40.7139,-73.9328,B02617,2014-06-06,6,23,6,0,5,Friday,Friday-0,1,0
433658,2014-06-27 00:00:00,40.7271,-74.0058,B02617,2014-06-27,6,26,27,0,5,Friday,Friday-0,5,0
74301,2014-06-06 00:07:00,40.7401,-73.8508,B02598,2014-06-06,6,23,6,0,5,Friday,Friday-0,0,0
135547,2014-06-13 00:45:00,40.718,-73.9642,B02598,2014-06-13,6,24,13,0,5,Friday,Friday-0,1,0
632460,2014-06-27 00:59:00,40.74,-74.0059,B02682,2014-06-27,6,26,27,0,5,Friday,Friday-0,5,0
247304,2014-06-27 00:47:00,40.7177,-73.9896,B02598,2014-06-27,6,26,27,0,5,Friday,Friday-0,5,0
247288,2014-06-27 00:42:00,40.7347,-73.9988,B02598,2014-06-27,6,26,27,0,5,Friday,Friday-0,5,0
300738,2014-06-06 00:06:00,40.8788,-73.824,B02617,2014-06-06,6,23,6,0,5,Friday,Friday-0,0,0
433669,2014-06-27 00:03:00,40.728,-73.9901,B02617,2014-06-27,6,26,27,0,5,Friday,Friday-0,5,0
632442,2014-06-27 00:49:00,40.7489,-73.9876,B02682,2014-06-27,6,26,27,0,5,Friday,Friday-0,5,0
135571,2014-06-13 00:54:00,40.7628,-73.9716,B02598,2014-06-13,6,24,13,0,5,Friday,Friday-0,2,0
135502,2014-06-13 00:29:00,40.7224,-73.9863,B02598,2014-06-13,6,24,13,0,5,Friday,Friday-0,5,0
